latitude,longitude,name,source,precision,,
38.0014535,-89.2358916,"730 South Washington St, DuQuoin, Illinois 62832",Bing Maps,address,,
41.8383713,-87.6397171,"514 W. 31st Street, Chicago, Illinois 60616",Bing Maps,address,,
41.9773827,-87.6627274,"5244 N. Lakewood, Chicago, Illinois 60640",Bing Maps,address,,
40.5008539,-88.9064983,"1415 Woodbine Road, Bloomington, Illinois 61704",Bing Maps,address,,
41.8937225,-87.6160736,"446 East Ontario, Chicago, Illinois 60611",Bing Maps,address,,
42.0129013,-87.691452,"2424 West Touhy Avenue, Chicago, Illinois 60645",Bing Maps,address,,
41.908638,-88.1220245,"250 N. Gary Avenue, Carol Stream, Illinois 60188",Bing Maps,address,,
41.8949454,-88.092136,"345 S. President Avenue, Carol Stream, Illinois 60188",Bing Maps,address,,
41.779935,-87.8068529,"7438 West 61st Place, Summit, Illinois 60501",Bing Maps,address,,
41.8083651,-87.9088701,"1500 Walker Street, Western Springs, Illinois 60558",Bing Maps,address,,
41.7787568,-87.7689868,"6255 South Mayfield, Chicago, Illinois 60638",Bing Maps,address,,
41.830188,-87.668907,"1723 West 35th Street, Chicago, Illinois 60609",Bing Maps,address,,
41.8133278,-87.7037888,"4401 South Kedzie Avenue, Chicago, Illinois 60632",Bing Maps,address,,
41.8022118,-87.6215134,"118 East 51st Street, Chicago, Illinois 60615",Bing Maps,address,,
41.484745,-87.7118225,"22205 Governors Hwy, Richton Park, Illinois 60471",Bing Maps,address,,
41.9398396,-87.7664716,"3255 North Central, Chicago, Illinois 60634",Bing Maps,address,,
41.8793449,-87.7064362,"3201 West Monroe, Chicago, Illinois 60624",Bing Maps,address,,
41.910614,-87.6320801,"108 West Germania Place, Chicago, Illinois 60610",Bing Maps,address,,
41.843723,-87.686302,"2700 S. Western Avenue, Chicago, Illinois 60608",Bing Maps,address,,
42.1571999,-87.9484711,"200 Horatio Blvd., Buffalo Grove, Illinois 60089",Bing Maps,address,,
41.5450401,-88.1460114,"1206 Cedarwood Drive, Crest Hill, Illinois 60403",Bing Maps,address,,
38.9860837,-88.1663977,"501 South Walnut Street, Newton, Illinois 62448",Bing Maps,address,,
42.1767921,-88.4038315,"10547 Faiths Way, Huntley, Illinois 60142",Bing Maps,address,,
41.5310696,-88.0892868,"403 North Hickory Street, Joliet, Illinois 60435",Bing Maps,address,,
41.7851566,-87.7009358,"5954 South Albany Avenue, Chicago, Illinois 60629",Bing Maps,address,,
40.2878268,-88.1575491,"104 E Nightingale Court, Rantoul, Illinois 61866",Bing Maps,address,,
41.9144402,-87.944191,"212 West Lake Street, Elmhurst, Illinois 60126",Bing Maps,address,,
41.5199954,-88.0855713,"200 S. Desplaines Street, Joliet, Illinois 60436",Bing Maps,address,,
42.0990247,-87.8173538,"2401 Compass Road, Glenview, Illinois 60026",Bing Maps,address,,
41.878551,-87.846473,"1100-1110 W. Madison Street, Maywood, Illinois 60153",Bing Maps,address,,
